name                                  x         y          z     typ   spect         mass  m.unit    radius  unit     temp  orbits   orbit params - semimajor axis, period, excentricity

Proxima Centauri                 ,  2.945  , -3.056  ,  -0.143  , S   ,M5 Ve  ,     0.12  ,  Ms  ,  0.14  ,  Rs    ,  3050  , AB ,  10000*  ,              , 
Wolf 294 b                       ,-17.560  , -0.901  ,   4.756  , PT  ,       ,     4.8   ,  Me  ,  1.6   ,  Re?   ,   310  ,    ,  0.0818  ,    0.0389    ,      0.1
LP 816-60                        , 13.106  ,  7.617  , -10.308  , S   ,M3.5 V ,     0.19  ,  Ms  ,  0.28  ,  Rs    ,  3170  ,    ,          ,              , 
2MASS J23402010+4631110          , -6.182  , 16.629  ,  -4.626  , BD? ,T?     ,           ,      ,        ,        ,        ,    ,          ,              , 
2MASS J04163296+3100022          ,-17.453  ,  4.188  ,  -4.483  , BD? ,L?     ,           ,      ,        ,        ,        ,    ,          ,              , 
WISE J174124.25+255319.6         , 10.672  , 12.769  ,   8.154  , BD  ,T9     ,           ,      ,        ,        ,   500  ,    ,          ,              , 
WISEA J183537.82+325945.4        ,  8.406  , 15.577  ,   5.562  , S   ,M8.5 V ,     0.08  ,  Ms  ,  1.07  ,  Rj    ,  2300  ,    ,          ,              , 
Wolf 1453                        ,-15.640  , -7.947  ,  -6.194  , S   ,M1 V   ,     0.57  ,  Ms  ,  0.8   ,  Rs    ,  3550  ,    ,          ,              , 
WISE J041521.21-093500.6         ,-13.334  , -5.644  , -11.701  , BD  ,T8     ,     35    ,  Mj  ,  0.89  ,  Rj    ,   750  ,    ,          ,              , 
HD 42581 A                       ,-11.786  ,-13.374  ,  -5.944  , S   ,M1.5 V ,     0.56  ,  Ms  ,  0.77  ,  Rs    ,  3520  ,    ,          ,              , 
HD 42581 Ac                      ,-11.786  ,-13.374  ,  -5.944  , PN  ,       ,     9     ,  Me  ,  3     ,  Re?   ,   220  ,    ,  0.34    ,    0.334     ,      0.3
HD 42581 Ab                      ,-11.786  ,-13.374  ,  -5.944  , PN  ,       ,     12    ,  Me  ,  3.5   ,  Re?   ,   130  ,    ,  0.90    ,    1.43      ,     0.17
HD 42581 B                       ,-11.777  ,-13.365  ,  -5.939  , BD  ,T6 V   ,     34    ,  Mj  ,  1.07  ,  Rj    ,   820  , A  ,  19      ,    145       ,     0.03
Sigma Draconis                   , -3.419  , 17.107  ,   7.005  , S   ,G9 V   ,     0.89  ,  Ms  ,  0.8   ,  Rs    ,  5272  ,    ,          ,              , 
Ross 47                          ,-18.114  , -4.418  ,  -3.024  , S   ,M4 V   ,     0.18  ,  Ms  ,  0.3   ,  Rs    ,  3130  ,    ,          ,              , 
Lalande 27173 A                  , 15.009  , -5.990  ,  10.366  , S   ,K4 V   ,     0.78  ,  Ms  ,  0.86  ,  Rs    ,  4519  ,    ,          ,              , 
Lalande 27173 B                  , 14.996  , -5.986  ,  10.359  , S   ,M1.5 V ,     0.55  ,  Ms  ,  0.81  ,  Rs    ,  3450  , A  ,  190     ,    2130      ,      0.2
Lalande 27173 C                  , 14.996  , -5.986  ,  10.359  , S   ,M      ,     0.36  ,  Ms  ,        ,        ,        , B  ,  0.88    ,    0.846     ,    0.756
Lalande 27173 D                  , 14.984  , -5.985  ,  10.378  , BD  ,T7.5   ,     44    ,  Mj  ,  0.86  ,  Rj    ,   800  , ABC,  1500*   ,              , 
Luyten 205-128                   , 16.899  , -7.771  ,  -4.794  , S   ,M3 V   ,     0.26  ,  Ms  ,  0.42  ,  Rs    ,  3160  ,    ,          ,              , 
Luyten 347-14                    , 17.464  , -2.343  ,  -7.809  , S   ,M4 V   ,     0.16  ,  Ms  ,  0.2   ,  Rs    ,  3200  ,    ,          ,              , 
Lalande 46650                    , -0.655  , 10.511  , -16.143  , S   ,M1 V   ,     0.51  ,  Ms  ,  0.5   ,  Rs    ,  3580  ,    ,          ,              , 
Wolf 1055 A                      , 14.658  , 12.495  ,  -1.105  , S   ,M2.5 V ,     0.5   ,  Ms  ,  0.47  ,  Rs    ,  3570  ,    ,          ,              , 
Wolf 1055 Ab                     , 14.658  , 12.495  ,  -1.105  , PN  ,       ,     14    ,  Me  ,  4     ,  Re?   ,   170  ,    ,  0.34    ,    0.2899    ,     0.16
Wolf 1055 B                      , 14.669  , 12.500  ,  -1.111  , S   ,M8 V   ,     82    ,  Mj  ,  1.1   ,  Rj    ,  2530  , A  ,  450*    ,              , 
Wolf 1055 Bb                     , 14.649  , 12.488  ,  -1.104  , PJ? ,       ,     6.4   ,  Mj  ,  1     ,  Rj?   ,    57  , B  ,  0.36    ,    0.745     ,     0.98
CD-40 9712                       , 16.764  , -8.662  ,   4.055  , S   ,M2.5 V ,     0.46  ,  Ms  ,  0.52  ,  Rs    ,  3440  ,    ,          ,              , 
WISE J035000.32-565830.2         , -0.230  ,-13.254  , -14.052  , BD  ,Y1     ,           ,      ,        ,        ,   225  ,    ,          ,              , 
Eta Cassiopeiae A                ,-10.379  , 16.216  ,  -1.703  , S   ,G3 V   ,     1.11  ,  Ms  ,  0.96  ,  Rs    ,  6170  ,    ,          ,              , 
Eta Cassiopeiae B                ,-10.380  , 16.220  ,  -1.703  , S   ,K7 V   ,     0.6   ,  Ms  ,  0.76  ,  Rs    ,  3900  , A  ,  71.3    ,    480       ,    0.497
Luyten 722-22 A                  ,  0.490  ,  4.595  , -18.815  , S   ,M3.5 V ,     0.18  ,  Ms  ,  0.41  ,  Rs    ,  2980  ,    ,          ,              , 
Luyten 722-22 B                  ,  0.490  ,  4.595  , -18.815  , S   ,M V    ,     0.11  ,  Ms  ,        ,        ,        , A  ,  1.80    ,    4.57      ,    0.364
36 Ophiuchi A                    , 19.266  , -0.579  ,   2.325  , S   ,K1.5 V ,     0.85  ,  Ms  ,  0.71  ,  Rs    ,  5220  ,    ,          ,              , 
36 Ophiuchi B                    , 19.251  , -0.578  ,   2.323  , S   ,K1 V   ,     0.85  ,  Ms  ,  0.72  ,  Rs    ,  5160  , A  ,  82.5    ,    548.7     ,      0.9
36 Ophiuchi C                    , 19.277  , -0.526  ,   2.283  , S   ,K5 V   ,     0.71  ,  Ms  ,  0.73  ,  Rs    ,  4360  , AB ,  5000*   ,              , 
WISEP J154151.66-225025.2        , 17.174  , -4.108  ,   8.331  , BD  ,Y0.5   ,     12    ,  Mj  ,  1.01  ,  Rj    ,   350  ,    ,          ,              , 
Ross 882                         ,-15.397  ,-11.128  ,   4.546  , S   ,M4 V   ,     0.2   ,  Ms  ,  0.28  ,  Rs    ,  3280  ,    ,          ,              , 
HD 191408 A                      , 16.752  ,  1.534  , -10.078  , S   ,K2.5 V ,     0.82  ,  Ms  ,  0.65  ,  Rs    ,  5180  ,    ,          ,              , 
HD 191408 B                      , 16.762  ,  1.535  , -10.083  , S   ,M4 V   ,     0.19  ,  Ms  ,  0.28  ,  Rs    ,  3200  , A  ,  36      ,    210       , 
82 Eridani                       , -3.626  ,-10.382  , -16.351  , S   ,G8 V   ,     0.97  ,  Ms  ,  0.92  ,  Rs    ,  5458  ,    ,          ,              , 
82 Eridani g                     , -3.626  ,-10.382  , -16.351  , PT? ,       ,     1.2   ,  Me  ,  1.05  ,  Re?   ,   690  ,    ,  0.095   ,    0.03247   ,      0.2
82 Eridani b                     , -3.626  ,-10.382  , -16.351  , PT  ,       ,     3.3   ,  Me  ,  1.45  ,  Re?   ,   600  , A  ,  0.127   ,    0.05016   ,      0.3
82 Eridani c                     , -3.626  ,-10.382  , -16.351  , PT? ,       ,     2.9   ,  Me  ,  1.4   ,  Re?   ,   450  ,    ,  0.225   ,    0.118     ,      0.2
82 Eridani d                     , -3.626  ,-10.382  , -16.351  , PT  ,       ,     4.1   ,  Me  ,  1.5   ,  Re?   ,   350  , A  ,  0.364   ,    0.243     ,      0.2
82 Eridani e                     , -3.626  ,-10.382  , -16.351  , PN  ,       ,     5.5   ,  Me  ,  2     ,  Re?   ,   300  , A  ,  0.51    ,    0.4025    ,      0.3
82 Eridani f                     , -3.626  ,-10.382  , -16.351  , PN? ,       ,     12    ,  Me  ,  3.5   ,  Re?   ,   230  ,    ,  0.875   ,    0.91      ,     0.05
Ross 986 A                       ,-18.559  ,  0.339  ,   6.721  , S   ,M4.5 V ,     0.17  ,  Ms  ,  0.27  ,  Rs    ,  3100  ,    ,          ,              , 
Ross 986 B                       ,-18.559  ,  0.339  ,   6.721  , S   ,M V    ,     0.16  ,  Ms  ,        ,        ,        , A  ,  4       ,    14        , 
Delta Pavonis                    , 14.509  , -8.456  , -10.664  , S   ,G8 IV  ,     1.1   ,  Ms  ,  1.26  ,  Rs    ,  5508  ,    ,          ,              , 
WISEP J013657.45+093347.0        , -9.644  ,  7.749  , -15.657  , BD  ,T2.5   ,     13    ,  Mj  ,  1     ,  Rj?   ,        ,    ,          ,              , 
WISEP J093735.61+293127.7        ,-12.825  , -4.129  ,  14.745  , BD  ,T7     ,     58    ,  Mj  ,  0.79  ,  Rj    ,   810  ,    ,          ,              , 
HD 191849                        , 16.798  , -1.527  , -10.943  , S   ,M0 V   ,     0.58  ,  Ms  ,  0.77  ,  Rs    ,  3640  ,    ,          ,              , 
LHS 455                          , -3.453  , 17.077  ,  10.339  , WD  ,DXP9   ,     0.81  ,  Ms  ,  1.1   ,  Re    ,  5600  ,    ,          ,              , 
Wolf 1481                        , 13.836  , -5.472  ,  13.950  , S   ,M4 V   ,     0.2   ,  Ms  ,  0.31  ,  Rs    ,  3210  ,    ,          ,              , 
EQ Pegasi A                      , -2.363  , 15.667  , -12.895  , S   ,M3.5 V ,     0.33  ,  Ms  ,  0.14  ,  Rs    ,  4230  ,    ,          ,              , 
EQ Pegasi B                      , -2.359  , 15.642  , -12.876  , S   ,M4.5 V ,     0.16  ,  Ms  ,  0.23  ,  Rs    ,  3100  , A  ,  25      ,    180       , 
Wolf 562                         , 15.654  , -1.624  ,  13.214  , S   ,M3 V   ,     0.31  ,  Ms  ,  0.29  ,  Rs    ,  3498  ,    ,          ,              , 
Wolf 562 e                       , 15.654  , -1.624  ,  13.214  , PT  ,       ,     1.9   ,  Me  ,  1.2   ,  Re?   ,   450  , A  ,  0.029   ,    0.00863   ,     0.12
Wolf 562 b                       , 15.654  , -1.624  ,  13.214  , PN  ,       ,     18    ,  Me  ,  4.5   ,  Re?   ,   380  , A  ,  0.041   ,    0.0147    ,     0.02
Wolf 562 c                       , 15.654  , -1.624  ,  13.214  , PN  ,       ,     6.5   ,  Me  ,  2.5   ,  Re?   ,   280  , A  ,  0.074   ,    0.03537   ,     0.09
HD 79210 A                       ,-14.668  ,  3.948  ,  14.001  , S   ,M0 V   ,     0.6   ,  Ms  ,  0.82  ,  Rs    ,  3690  ,    ,          ,              , 
HD 79210 B                       ,-14.667  ,  3.948  ,  14.002  , S   ,K7 V   ,     0.6   ,  Ms  ,  0.62  ,  Rs    ,  3900  , A  ,  102     ,    975       ,     0.28
HD 79210 Bb                      ,-14.667  ,  3.948  ,  14.002  , PN  ,       ,     12    ,  Me  ,  3.5   ,  Re?   ,   330  ,    ,  0.14    ,    0.0669    ,      0.1
LHS 2090                         ,-14.853  , -7.021  ,  12.657  , S   ,M6 V   ,     0.09  ,  Ms  ,  0.18  ,  Rs    ,  2500  ,    ,          ,              , 
HD 155876 A                      ,  5.404  , 15.999  ,  12.254  , S   ,M3 V   ,     0.39  ,  Ms  ,  0.53  ,  Rs    ,  3300  ,    ,          ,              , 
HD 155876 B                      ,  5.404  , 15.999  ,  12.254  , S   ,M V    ,     0.33  ,  Ms  ,        ,        ,        , A  ,  4.93    ,    12.96     ,     0.75
WISEP J150319.70+252525.4        ,  8.222  ,  6.238  ,  18.218  , BD  ,T6     ,     18    ,  Mj  ,  0.9   ,  Rj    ,  1010  ,    ,          ,              , 
LP 944-20                        , -6.865  ,-10.440  , -16.831  , BD  ,M9 V   ,     30    ,  Mj  ,  0.14  ,  Rs    ,  1900  ,    ,          ,              , 
LHS 32                           ,-17.584  ,-10.242  ,  -5.230  , WD  ,DZ9    ,     0.82  ,  Ms  ,  1.1   ,  Re    ,  5200  ,    ,          ,              , 
WISE J140518.39+553421.3         , -2.438  , 10.695  ,  17.957  , BD  ,Y0     ,     30    ,  Mj  ,  0.86  ,  Rj    ,   350  ,    ,          ,              , 
GL Virginis                      ,  0.658  , -6.386  ,  20.082  , S   ,M4.5 Ve,     0.14  ,  Ms  ,  0.16  ,  Rs    ,  3400  ,    ,          ,              , 
WISE J220905.73+271143.9         ,  2.051  , 19.317  ,  -8.297  , BD  ,Y1     ,     12    ,  Mj  ,  1     ,  Rj    ,   350  ,    ,          ,              , 
G 202-48                         ,  1.833  , 15.400  ,  14.354  , S   ,M1.5 V ,     0.3   ,  Ms  ,  0.31  ,  Rs    ,  3500  ,    ,          ,              , 
G 202-48 b                       ,  1.833  , 15.400  ,  14.354  , PT  ,       ,     3.5   ,  Me  ,  1.45  ,  Re?   ,   280  , A  ,  0.0784  ,    0.0401    ,      0.1
2MASS J00124716+5215456          , -9.427  , 18.549  ,  -3.728  , BD? ,T?     ,           ,      ,        ,        ,        ,    ,          ,              , 
Wolf 630 A                       , 19.392  ,  3.785  ,   7.640  , S   ,M3.5 V ,     0.41  ,  Ms  ,  0.51  ,  Rs    ,  3370  ,    ,          ,              , 
Wolf 630 Ba                      , 19.392  ,  3.785  ,   7.640  , S   ,M?     ,     0.34  ,  Ms  ,        ,        ,  3350  , A  ,  1.465   ,    1.717     ,    0.043
Wolf 630 Bb                      , 19.392  ,  3.785  ,   7.640  , S   ,M?     ,     0.30  ,  Ms  ,        ,        ,        , Ba ,  0.035   ,    0.00812   ,    0.026
Wolf 629                         , 19.401  ,  3.788  ,   7.652  , S   ,M3.5 V ,     0.2   ,  Ms  ,  0.21  ,  Rs    ,  3340  , AB ,  470*    ,              , 
Wolf 630 C                       , 19.402  ,  3.774  ,   7.622  , S   ,M7 Ve  ,     0.09  ,  Ms  ,  0.1   ,  Rs    ,  3000  , AB ,  1900*   ,              , 
Luyten 100-115                   ,  6.159  ,-19.816  ,  -4.399  , S   ,M4 V   ,     0.15  ,  Ms  ,  0.2   ,  Rs    ,  3200  ,    ,          ,              , 
WISE J041022.71+150248.4         ,-19.109  ,  0.684  ,  -9.293  , BD  ,T6     ,     18    ,  Mj  ,  0.92  ,  Rj    ,   410  ,    ,          ,              , 
WISE J031325.94+780744.3         ,-13.116  , 15.566  ,   6.335  , BD  ,T8.5   ,     26.2  ,  Mj  ,  0.88  ,  Rj    ,   650  ,    ,          ,              , 
HD 219134                        , -7.251  , 20.032  ,  -1.191  , S   ,K3 V   ,     0.8   ,  Ms  ,  0.78  ,  Rs    ,  4700  ,    ,          ,              , 
HD 219134 b                      , -7.251  , 20.032  ,  -1.191  , PT  ,       ,     4.3   ,  Me  ,  1.47  ,  Re    ,   880  , A  ,  0.037   ,    0.00847   ,      0.0
HD 219134 c                      , -7.251  , 20.032  ,  -1.191  , PT  ,       ,     4.0   ,  Me  ,  1.38  ,  Re    ,   680  , A  ,  0.062   ,    0.01852   ,      0.0
HD 219134 f                      , -7.251  , 20.032  ,  -1.191  , PN  ,       ,     6.6   ,  Me  ,  2.5   ,  Re?   ,   450  , A  ,  0.139   ,    0.0624    ,      0.0
HD 219134 d                      , -7.251  , 20.032  ,  -1.191  , PN  ,       ,     17    ,  Me  ,  4     ,  Re?   ,   360  , A  ,  0.225   ,    0.1279    ,      0.0
HD 219134 g                      , -7.251  , 20.032  ,  -1.191  , PN  ,       ,     12    ,  Me  ,  3.5   ,  Re?   ,   280  , A  ,  0.375   ,    0.258     ,      0.0
HD 219134 e                      , -7.251  , 20.032  ,  -1.191  , PJ  ,       ,     80    ,  Me  ,  1     ,  Rj?   ,   100  , A  ,  2.6     ,    5.0       ,      0.3
HD 219134 h                      , -7.251  , 20.032  ,  -1.191  , PJ  ,       ,     0.4   ,  Mj  ,  1     ,  Rj?   ,    96  , A  ,  3.06    ,    6.0       ,      0.4
Luyten 471-42                    ,  9.959  ,-17.100  ,   8.986  , S   ,M4 V   ,     0.15  ,  Ms  ,  0.17  ,  Rs    ,  3200  ,    ,          ,              , 
DENIS J072003.2-084650 A         ,-15.752  ,-15.217  ,   0.875  , S   ,M9.5   ,     0.09  ,  Ms  ,  0.75  ,  Rj    ,  2650  ,    ,          ,              , 
DENIS J072003.2-084650 B         ,-15.752  ,-15.217  ,   0.875  , BD  ,T5.5   ,     65    ,  Mj  ,  1     ,  Rj?   ,        , A  ,  1.3     ,    3.8       ,      0.8
Ksi Bootis A                     ,  9.704  ,  4.136  ,  19.313  , S   ,G7 Ve  ,     0.95  ,  Ms  ,  0.86  ,  Rs    ,  5580  ,    ,          ,              , 
Ksi Bootis B                     ,  9.703  ,  4.136  ,  19.313  , S   ,K5 Ve  ,     0.6   ,  Ms  ,  0.55  ,  Rs    ,  4550  , A  ,  4.9     ,    152       ,     0.51
Ross 104                         , -7.637  , -5.635  ,  19.857  , S   ,M4 V   ,     0.42  ,  Ms  ,  0.39  ,  Rs    ,  3500  ,    ,          ,              , 
Ross 619                         ,-16.964  ,-11.497  ,   8.219  , S   ,M4.5 Ve,     0.14  ,  Ms  ,  0.34  ,  Rs    ,  3200  ,    ,          ,              , 
Ross 775 A                       ,  7.070  , 18.976  ,  -8.885  , S   ,M3 Ve  ,     0.23  ,  Ms  ,  0.44  ,  Rs    ,  3260  ,    ,          ,              , 
Ross 775 B                       ,  7.070  , 18.976  ,  -8.885  , S   ,M      ,     0.23  ,  Ms  ,        ,        ,        , A  ,  0.19    ,    0.146     ,    0.374
LHS 6158 A                       ,-14.354  ,-12.127  ,  11.807  , S   ,M3.5 V ,     0.2   ,  Ms  ,  0.27  ,  Rs    ,  3300  ,    ,          ,              , 
LHS 6158 B                       ,-14.354  ,-12.127  ,  11.807  , S   ,M      ,           ,      ,        ,        ,        , AC ,  4.2     ,    14        , 
LHS 6158 C                       ,-14.354  ,-12.127  ,  11.807  , S   ,M      ,     0.17  ,  Ms  ,        ,        ,        , A  ,  0.045   ,    0.02      ,    0.014
WISEP J192841.35+235604.9        , 11.675  , 18.936  ,   1.188  , BD  ,T6     ,           ,      ,        ,        ,   980  ,    ,          ,              , 
ULAS J025409.58+022358.7         ,-14.758  ,  1.854  , -16.648  , BD  ,T8     ,           ,      ,        ,        ,   800  ,    ,          ,              , 
BD-17 588 A                      ,-11.090  , -4.143  , -19.001  , S   ,M3     ,     0.26  ,  Ms  ,  0.26  ,  Rs    ,  3340  ,    ,          ,              , 
BD-17 588 Ac                     ,-11.090  , -4.143  , -19.001  , PT  ,       ,     1.5   ,  Me  ,  1.15  ,  Re    ,   520  ,    ,  0.027   ,    0.00855   ,      0.2
BD-17 588 Ab                     ,-11.090  , -4.143  , -19.001  , PT  ,       ,     2.9   ,  Me  ,  1.3   ,  Re    ,   440  ,    ,  0.038   ,    0.01467   ,      0.1
BD-17 588 B                      ,-11.101  , -4.147  , -19.019  , S   ,M3 V   ,     0.22  ,  Ms  ,  0.24  ,  Rs    ,  3400  , A  ,  34      ,    250       , 
BD-17 588 C                      ,-11.101  , -4.147  , -19.019  , S   ,       ,     0.16  ,  Ms  ,  0.20  ,  Rs    ,        ,    ,  8.1     ,    36        ,      0.5
CWISE J105512.11+544328.3        ,-11.366  ,  5.941  ,  18.480  , BD  ,T8?    ,           ,      ,        ,        ,        ,    ,          ,              , 
Ross 671                         ,  0.902  , 17.581  , -13.848  , S   ,M1.5 Ve,     0.6   ,  Ms  ,  0.55  ,  Rs    ,  3790  ,    ,          ,              , 
Wolf 358                         , -5.976  ,-11.615  ,  18.594  , S   ,M4 V   ,     0.28  ,  Ms  ,  0.26  ,  Rs    ,  3340  ,    ,          ,              , 
Ross 446                         , -6.760  ,-14.156  ,  16.757  , S   ,M2 Ve  ,     0.48  ,  Ms  ,  0.43  ,  Rs    ,  3580  ,    ,          ,              , 
Ross 446 b                       , -6.760  ,-14.156  ,  16.757  , PT  ,       ,     2.0   ,  Me  ,  1.2   ,  Re?   ,   410  ,    ,  0.054   ,    0.01924   , 
HD 199305                        , -3.413  , 22.272  ,   4.417  , S   ,M1 Ve  ,     0.6   ,  Ms  ,  0.64  ,  Rs    ,  3830  ,    ,          ,              , 
2MASS J21462206+3813047          ,  0.977  , 22.495  ,  -4.627  , S   ,M5 V   ,     0.17  ,  Ms  ,  0.26  ,  Rs    ,  2900  ,    ,          ,              , 
LHS 3003                         , 18.392  , -9.014  ,  10.471  , S   ,M7 Ve  ,     0.08  ,  Ms  ,  1.07  ,  Rj    ,  2500  ,    ,          ,              , 
WISE J052126.29+102528.4         ,-21.794  , -4.961  ,  -5.831  , BD  ,T7.5   ,           ,      ,        ,        ,        ,    ,          ,              , 
WISEP J000517.48+373720.5        , -8.216  , 19.432  ,  -9.548  , BD  ,T9     ,           ,      ,        ,        ,   600  ,    ,          ,              , 
Luyten 230-188                   , -1.988  ,-16.246  , -16.418  , S   ,M4.5   ,     0.13  ,  Ms  ,  0.20  ,  Rs    ,  3000  ,    ,          ,              , 
LHS 546                          ,  1.405  , 11.884  , -20.118  , S   ,M5 Ve  ,     0.12  ,  Ms  ,  0.15  ,  Rs    ,  2900  ,    ,          ,              , 
WISE J082507.35+280548.5         ,-19.247  , -5.219  ,  12.360  , BD  ,Y0.5   ,           ,      ,        ,        ,        ,    ,          ,              , 
HD 16160 A                       ,-15.223  ,  4.538  , -17.392  , S   ,K3 V   ,     0.74  ,  Ms  ,  0.73  ,  Rs    ,  4900  ,    ,          ,              , 
HD 16160 B                       ,-15.223  ,  4.538  , -17.392  , S   ,M6 V   ,     0.1   ,  Ms  ,        ,        ,        , A  ,  14.5    ,    61        ,     0.67
HD 16160 C                       ,-15.236  ,  4.523  , -17.393  , S   ,M3.5 V ,     0.26  ,  Ms  ,  0.27  ,  Rs    ,  3330  , A  ,  17      ,    76        ,    0.641
WISE J205628.91+145953.2         , 10.459  , 19.667  ,  -7.737  , BD  ,Y0     ,     17    ,  Mj  ,  0.93  ,  Rj    ,   410  ,    ,          ,              , 
V488 Hydrae                      ,-13.398  ,-17.868  ,   7.569  , BD  ,L6.5   ,           ,      ,  0.33  ,  Rj    ,  2200  ,    ,          ,              , 
Luyten 788-34                    , 10.387  ,  8.907  , -19.224  , S   ,M4.5 Ve,     0.17  ,  Ms  ,  0.19  ,  Rs    ,  3200  ,    ,          ,              , 
HD 156384 A                      , 23.386  , -3.352  ,   0.587  , S   ,K3 V   ,     0.71  ,  Ms  ,  0.76  ,  Rs    ,  4460  ,    ,          ,              , 
HD 156384 B                      , 23.386  , -3.352  ,   0.587  , S   ,K5 V   ,     0.68  ,  Ms  ,  0.70  ,  Rs    ,  4400  , A  ,  13      ,    42        ,     0.58
HD 156384 C                      , 23.377  , -3.352  ,   0.583  , S   ,M1.5 V ,     0.33  ,  Ms  ,  0.42  ,  Rs    ,  3600  , A  ,  230     ,              , 
HD 156384 Cb                     , 23.377  , -3.352  ,   0.583  , PN  ,       ,     6.5   ,  Me  ,  2.5   ,  Re?   ,   420  , C  ,  0.051   ,    0.0197    ,      0.1
HD 156384 Ch                     , 23.377  , -3.352  ,   0.583  , PT? ,       ,     1.1   ,  Me  ,  1.0   ,  Re?   ,   320  , C  ,  0.089   ,    0.0463    ,     0.06
HD 156384 Cc                     , 23.377  , -3.352  ,   0.583  , PT  ,       ,     4.4   ,  Me  ,  1.6   ,  Re?   ,   270  , C  ,  0.12    ,    0.0770    ,     0.02
HD 156384 Cf                     , 23.377  , -3.352  ,   0.583  , PT  ,       ,     3.1   ,  Me  ,  1.4   ,  Re?   ,   240  , C  ,  0.16    ,    0.107     ,     0.03
HD 156384 Ce                     , 23.377  , -3.352  ,   0.583  , PT  ,       ,     3.1   ,  Me  ,  1.4   ,  Re?   ,   210  , C  ,  0.21    ,    0.170     ,     0.02
HD 156384 Cd                     , 23.377  , -3.352  ,   0.583  , PN? ,       ,     5.9   ,  Me  ,  2     ,  Re?   ,   180  , C  ,  0.28    ,    0.251     ,     0.03
HD 156384 Cg                     , 23.377  , -3.352  ,   0.583  , PN  ,       ,     5.3   ,  Me  ,  2     ,  Re?   ,   130  , C  ,  0.55    ,    0.70      ,     0.08
WISEP J060738.65+242953.4        ,-23.467  , -2.594  ,   0.834  , BD  ,L9     ,           ,      ,  0.8   ,  Rj    ,  1460  ,    ,          ,              , 
WISE J173835.53+273259.0         , 13.208  , 16.691  ,  10.951  , BD  ,Y0     ,           ,      ,        ,        ,        ,    ,          ,              , 
2MASS J04292844+3001563          ,-23.085  ,  4.408  ,  -5.278  , BD? ,L?     ,           ,      ,        ,        ,        ,    ,          ,              , 
WISEP J004945.61+215120.0        , -9.763  , 15.373  , -15.839  , BD  ,T8.5   ,           ,      ,        ,        ,   680  ,    ,          ,              , 
WISEA J150747.56-162749.3        , 18.976  , -5.400  ,  13.961  , BD  ,L5     ,     68    ,  Mj  ,  0.86  ,  Rj    ,  1700  ,    ,          ,              , 
Wolf 25                          , -6.795  , 11.083  , -20.472  , S   ,K2.5 V ,     0.78  ,  Ms  ,  0.7   ,  Rs    ,  5090  ,    ,          ,              , 
Wolf 922                         , 13.604  , 12.791  , -15.590  , S   ,M4.5 V ,     0.23  ,  Ms  ,  0.32  ,  Rs    ,  3040  ,    ,          ,              , 
Beta Hydri                       , 10.662  ,-15.357  , -15.567  , S   ,G0 V   ,     1.07  ,  Ms  ,  1.81  ,  Rs    ,  5870  ,    ,          ,              , 
2MASS J00114104+5231417          ,         ,         ,          , BD? ,L?     ,           ,      ,        ,        ,        ,    ,          ,              , 
WISE J200050.19+362950.1         ,  7.274  , 23.358  ,   1.418  , BD  ,T8     ,           ,      ,        ,        ,        ,    ,          ,              , 
CWISE J061741.79+194512.8 A      ,-24.012  , -4.925  ,   0.766  , BD  ,L6.5?  ,           ,      ,        ,        ,        ,    ,          ,              , 
CWISE J061741.79+194512.8 B      ,-24.012  , -4.925  ,   0.766  , BD  ,T8?    ,           ,      ,        ,        ,        ,    ,          ,              , 
2MASS J00012530+5425159          ,         ,         ,          , BD? ,T?     ,           ,      ,        ,        ,        ,    ,          ,              , 
G 203-47 A                       ,  7.210  , 18.632  ,  14.667  , S   ,M3.5 V ,     0.13  ,  Ms  ,  0.1   ,  Rs    ,  3000  ,    ,          ,              , 
G 203-47 B                       ,  7.210  , 18.632  ,  14.667  , S   ,       ,           ,      ,        ,        ,        , A  ,  0.11    ,    0.04      ,     0.07
WISEA J235402.79+024014.1        , -1.366  , 13.480  , -20.980  , BD  ,Y1     ,           ,      ,        ,        ,        ,    ,          ,              , 
Fomalhaut A                      ,  9.981  ,  3.729  , -22.755  , S   ,A3 Va  ,     1.92  ,  Ms  ,  1.84  ,  Rs    ,  8590  ,    ,          ,              , 
Fomalhaut Ab                     ,  9.981  ,  3.729  , -22.755  , PJ  ,       ,     66    ,  Me  ,  1     ,  Rj?   ,    44  , A  ,  117     ,    880       ,     0.11
Fomalhaut B                      , 10.220  ,  2.918  , -22.400  , S   ,K4 Ve  ,     0.73  ,  Ms  ,  0.69  ,  Rs    ,  4590  , A  ,  57000*  ,              , 
Fomalhaut Bb                     , 10.220  ,  2.918  , -22.400  , PJ? ,       ,     1.2   ,  Mj  ,  1     ,  Rj?   ,    49  ,    ,  10      ,    25        , 
Fomalhaut C                      ,  9.957  ,  6.134  , -22.138  , S   ,M4 Ve  ,     0.18  ,  Ms  ,  0.23  ,  Rs    ,  3130  , A  ,  158000* ,              , 
G 141-36                         , 19.139  , 15.738  ,   1.817  , S   ,M5 V   ,     0.13  ,  Ms  ,  0.18  ,  Rs    ,  2900  ,    ,          ,              , 
Ross 490                         ,  7.252  , -3.658  ,  23.516  , S   ,M1 Ve  ,     0.56  ,  Ms  ,  0.51  ,  Rs    ,  3700  ,    ,          ,              , 
